"path","component_name","component_type","matched_terms","current_classification","evidence_summary","directly_usable","adaptation_needed","duplicate_or_stale_risk","notes"
"docs/fleet/TSF_OPERATING_MODEL.md","TSF Operating Model","architecture_doc","project;track;assignment;mode switcher;question queue","USABLE_WITH_ADAPTATION","Defines projects, tracks, assignments, modes, work eligibility, Focus Lock, and Tim Question Queue.","true","Promote assignment routing concepts into Project Main Bot state ownership.","low","This is the closest existing long-term operating model."
"docs/fleet/TSF_AUTONOMOUS_PROJECT_MANAGEMENT_V1.md","Autonomous Project Management V1","architecture_doc","project brain;inbox;queue;autonomy profile;away safe","SCRIPT_BACKED","Defines project brain, inbox, queue tasks, autonomy profiles, batch terminal states, and away-mode report shape; backed by project-management scripts.","true","Adapt into Project Main Bot intake and routing protocol.","medium","Control guidance exists, but not yet a persistent Project Main Bot."
"tools/codex-fleet-project-management.ps1","Project Management Control Helper","script","project;queue;autonomy profile;question queue;batch status","SCRIPT_BACKED","Validates project-management packets, inbox shape, autonomy profiles, queue terminal states, and report generation.","true","Use as Project Main Bot dry guidance helper; do not treat it as product executor.","medium","Useful but not integrated with kernel mission lifecycle yet."
"docs/golden-gameplan/09-external-agent-workflow/phase-03-role-specific-audit-prompts.md","Role-Specific External Audit Prompts","prompt_doc","role;specific;auditor;external agent;tie-breaker","USABLE_WITH_ADAPTATION","Defines issue, improvement, taste, formula, security/scope, and tie-breaker auditor prompts.","true","Map these reviewer roles into worker/auditor role registry with non-execution boundaries.","medium","Review-only roles are not worker execution roles."
"tools/codex-fleet-external-agent.ps1","External Agent Workflow Helper","script","external agent;role;auditor;task packet","SCRIPT_BACKED","Implements external review prompt and validation workflow; external agents remain reviewers and cannot approve execution.","true","Reuse for Auditor Worker and ChatGPT/HQ evidence handoff, not as command authority.","medium","Keep reviewer output as evidence only."
"docs/golden-gameplan/11-specialized-lanes/stage-plan.md","Specialized Lane System","architecture_doc","specialized lanes;lane taxonomy;analytical;backend;maintenance","TEST_BACKED","Defines lane profiles for hospitality, manager tools, analytical software, backend-sensitive work, and maintenance; implemented by lane resolver and tests.","true","Use for Project Main Bot worker selection and scope risk detection.","low","Lane profiles are reusable worker-routing input."
"tools/codex-fleet-lanes.ps1","Lane Resolver","script","lane;resolver;backend-sensitive;escalation","SCRIPT_BACKED","Resolves task text/metadata into specialized lane decisions without launching ships.","true","Integrate as a pre-worker route classifier.","low","Should be called by future Project Main Bot before mission packet creation."
"docs/fleet/ENTRYPOINT_SAFETY_INVENTORY.md","Entrypoint Safety Inventory","inventory_doc","entrypoint;runner;supervisor;worker;all-fleet;remote-control","DOC_ONLY","Classifies existing scripts by read-only, fixture-only, selected-project, external-review, mobile-request, or legacy broad human-required posture.","true","Use as worker permission denylist and adapter safety source.","low","Prevents legacy runner reuse as default bot system."
"docs/fleet/ui/FLEET_CONSOLE_STATUS_AND_ACTION_MODEL.md","Fleet Console Status And Action Model","ui_architecture_doc","decision queue;idea inbox;approval;action model;console","CONCEPT_ONLY","Defines future console states and safe/caution/approval-required/forbidden action classes.","false","Adapt later for Operator Console; do not implement UI in this lane.","medium","Useful target UI model but not runtime enforcement."
"docs/fleet/ui/prototype/README.md","Fleet Console Static Prototype","prototype_doc","decision queue;idea inbox;work order inbox;handoff","CONCEPT_ONLY","Static prototype and fixtures show console panels, work order inbox, decision queue, prompt builder, and idea inbox as evidence-only displays.","false","Use as future UI reference only after kernel and role registry are stable.","medium","Not executable and not a Project Main Bot."
"fleet/control/mission.md","Fleet Mission Control File","prompt_doc","mission;mode;request handling;checkpoint","PROMPT_ONLY","Current request-only travel mission explains status posture and one-task repacketization rule.","false","Fold into Project Main Bot current-state read model; do not treat as execution authority.","medium","Useful as status/context evidence."
"fleet/control/quick-mission.md","Quick Mission Request Template","prompt_doc","quick mission;one task;requested files;validation;forbidden operations","PROMPT_ONLY","Phone/editable request template for one bounded task; status values do not execute or approve work.","false","Translator Helper can adapt this shape into structured mission packets.","medium","Good intake source but not an executor."
"templates/task-packet-schema.json","Task Packet Schema","schema","task packet;queue;stop conditions;validation","TEST_BACKED","Schema for bounded task packets used before the newer kernel mission packet.","true","Bridge task-packet fields into mission_schema_v1 rather than maintaining a separate workflow.","medium","May be legacy-adjacent but still useful."
"ingest-task-packet.ps1","Task Packet Ingestor","script","task packet;ingest;validation;queue","SCRIPT_BACKED","Validates and can optionally apply task packets; apply mode is selected-project and approval-sensitive.","false","Do not use as Project Main Bot default executor; reuse validation ideas only.","medium","Potential side-effect path, so keep gated."
"docs/golden-gameplan/05-state-machine/stage-plan.md","State Machine Plan","architecture_doc","state;supervisor;classification;transition","USABLE_WITH_ADAPTATION","Defines state schema, state writer/reader, supervisor classification, transition rules, and reporting.","true","Use state vocabulary in Project Main Bot loop/status model.","medium","Some concepts predate kernel."
"tools/codex-fleet-state.ps1","Fleet State Helper","script","state;repo fingerprint;worktree boundary;lease heartbeat","SCRIPT_BACKED","Contains helpers for fixture-safe state and boundary validation without creating worktrees.","true","Use for lane collision checks and future Project Main Bot state evidence.","medium","Do not convert into a worktree manager in this lane."
"docs/golden-gameplan/06-decision-engine/stage-plan.md","Decision Engine Plan","architecture_doc","decision;repair;park;run again;reporting","USABLE_WITH_ADAPTATION","Defines decision vocabulary, pure decision function, repair precedence, run-again eligibility, park/taste waits, and reporting.","true","Use as deterministic Project Main Bot decision support.","medium","Needs kernel integration before runtime authority."
"tools/codex-fleet-decision.ps1","Fleet Decision Helper","script","decision;block;repair;park;no-op;review","SCRIPT_BACKED","Resolves state-shaped inputs into decisions such as block, park, repair, wait, no-op, package audit, and taste gate.","true","Call before assigning workers once mission state packets exist.","medium","Currently separate from kernel lifecycle."
"docs/fleet/WORKTREE_ISOLATION_CONTRACT.md","Worktree Isolation Contract","policy_doc","worktree;branch;boundary;lane;collision","TEST_BACKED","Defines one selected ship to one dedicated worktree boundary, with fixture-safe validation expectations.","true","Use for Parallel Lane Coordinator file/branch isolation rules.","low","Does not create or delete worktrees."
"templates/worktree-boundary-schema.json","Worktree Boundary Schema","schema","worktree;branch;boundary;lease","TEST_BACKED","Machine-readable schema for worktree boundary records.","true","Use in lane coordinator mission preflight.","low","Reuse, do not replace."
"fleet/status/project-passports/","Project Passports","status_docs","memory;context;project;handoff","USABLE_WITH_ADAPTATION","Generated status cards preserve per-project context, guardrails, blockers, and next safe work.","true","Promote into Context/Memory Steward evidence input.","medium","Status freshness must be checked before use."
"fleet/status/next-session/","Next Session Cards","status_docs","handoff;memory;next safe work","USABLE_WITH_ADAPTATION","Tim-facing next-session cards capture one project handoff and next safe prompt.","true","Use as Project Main Bot conversation resume input.","medium","Evidence only and may be stale."
"fleet/status/work-orders/","Work Order Inbox Summaries","status_docs","inbox;work order;handoff;task","USABLE_WITH_ADAPTATION","Generated work-order drafts from TSF inbox files and project metadata.","true","Translator Helper can convert these into mission packets after Phase 0 trace.","medium","Do not execute as authority."
"Project Main Bot","Project Main Bot","role_system","main bot;project bot;goal;state;routing","MISSING","No single component currently owns one project's goal, state, routing, loop prevention, worker assignment, and kernel mission lifecycle.","false","Create as architecture/registry first, then implement as a thin adapter over existing TSF kernel and project-management helpers.","low","This audit does not build the bot runtime."
"Translator Helper Bot","Translator Helper Bot","role_system","translator;natural language;mission intent;structured packet","USABLE_WITH_ADAPTATION","Quick mission, HQ adapter, mission authoring helper, and daily-driver work orders together cover pieces of translation.","false","Define as a first-class role so Tim input becomes mission intent before packet creation.","medium","No single translator helper exists yet."
"Parallel Lane Coordinator","Parallel Lane Coordinator","role_system","parallel;lane;worktree;branch coordinator;collision","USABLE_WITH_ADAPTATION","Specialized lanes, worktree boundary schema, entrypoint safety, and lane-split packets provide ingredients but no coordinator.","false","Define branch/worktree strategy and collision checks before implementation.","medium","No parallel runner approved."
