"path","git_status","artifact_type","scope"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/auditor_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/builder_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/researcher_source_tracer_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/tester_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/run-role-aware-lifecycle-integration-tests.ps1","??","ps1","role_aware_lifecycle_integration_v1"
"tools/codex-fleet-enforcement-kernel.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Invoke-TsfMissionLifecycle.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Invoke-TsfProjectMainBotDryRun.ps1","??","ps1","role_aware_lifecycle_integration_v1"
"tools/New-TsfProjectMainBotMissionDraft.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Test-TsfMainBotLoopPrevention.ps1","??","ps1","role_aware_lifecycle_integration_v1"
"tools/Test-TsfWorkerRolePermission.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Update-TsfProjectContextCapsule.ps1","??","ps1","role_aware_lifecycle_integration_v1"
